0,-0.890117918517108,-1.48510066052197,-2.19632233070966,-2.60438030982594,-0.890117918517108,0,1
0.002,-0.890117918517108,-1.48510066052197,-2.19632233070966,-2.60438030982594,-0.890117918517108,0,1
0.004,-0.890117918517108,-1.48510066052197,-2.19632233070966,-2.60438030982594,-0.890117918517108,0,1
0.006,-0.89011690517854,-1.48509786938362,-2.1963120458946,-2.60439338792765,-0.890116905182013,3.41365878289766e-09,1
0.008,-0.890115891842296,-1.48509507852234,-2.19630176097219,-2.60440646585962,-0.890115891849241,6.82731533949663e-09,1
0.01,-0.890114540729112,-1.48509135758947,-2.19628804765882,-2.60442390297025,-0.890114540740687,1.13788587941442e-08,1
0.012,-0.890112851841483,-1.48508670688259,-2.1962709058392,-2.60444569907723,-0.890112851858846,1.70682875872401e-08,1
0.014,-0.890110825181993,-1.48508112670955,-2.19625033539407,-2.60447185399199,-0.890110825206301,2.38956017330417e-08,1
0.016,-0.890108460753738,-1.48507461743972,-2.19622633618034,-2.60450236748826,-0.89010846078615,3.18608013790322e-08,1
0.018,-0.890105758560262,-1.48506725492942,-2.19619900031923,-2.60453707158855,-0.890105758601934,7.28247331725226e-08,1
0.02,-0.890102718605803,-1.48505898577549,-2.19616826170841,-2.60457608579827,-0.890102718657893,1.24029656646495e-07,1
0.022,-0.890099340894957,-1.48504981322055,-2.19613412343137,-2.60461940379136,-0.890099340958622,1.86613463739763e-07,1
0.024,-0.89009562543288,-1.48503974056229,-2.19609658855049,-2.60466701920776,-0.890095625509278,2.61714047918139e-07,1
0.026,-0.890091572225243,-1.48502877115718,-2.19605566010545,-2.60471892565132,-0.890091572315533,3.50469303929646e-07,1
0.028,-0.89008718127823,-1.48501690842023,-2.19601134111335,-2.60477511668997,-0.890087181383568,4.54017128087714e-07,1
0.03,-0.890082452598536,-1.48500415582471,-2.19596363456876,-2.60483558585584,-0.890082452720079,5.7349541853308e-07,1
0.032,-0.890077386193369,-1.48499051690186,-2.19591254344392,-2.6049003266455,-0.890077386332275,7.10042075237995e-07,1
0.034,-0.890071982070445,-1.48497599524061,-2.19585807068878,-2.60496933252008,-0.890071982227873,8.64795000103371e-07,1
0.036,-0.890066240237994,-1.48496059448731,-2.19580021923114,-2.60504259690543,-0.8900662404151,1.03889209727702e-06,1
0.038,-0.890060160710595,-1.48494186190296,-2.19573598146614,-2.60512558014543,-0.890060160908536,1.94579156257936e-07,1
0.04,-0.890053743480453,-1.48492471505608,-2.19567138092171,-2.60520734114367,-0.890053743700389,4.10778318171036e-07,1
